"siteID","streamType","area","ratio_agri","agri_buffer","urb_buffer","for_buffer","grass_buffer","spec_buffer","FU_rich_buffer","fine_sub","sand","CPOM","temp","temp_coarse","speartaxa","abu_shr","perc_shred","EC_t1","EC_t2","O2_t1","O2_t2","NO2_t1","NO3_t1","PO4_t1","NH4_t1","NO2_t2","NO3_t2","PO4_t2","NH4_t2","TP_t1","TNb_t1","NP_ratio_t1","As_t1","Zn_t1","Pb_t1","Hg_t1","Cu_t1","Cd_t1","TP_t2","TNb_t2","NP_ratio_t2","As_t2","Zn_t2","Pb_t2","Hg_t2","Cu_t2","Cd_t2","pH_t1","pH_t2","flow_t1","flow_t2","sumTU_fu_date_t1","sumTU_fu_date_t2","sumTU_iv_date_t1","sumTU_iv_date_t2"
"S105","18.0",4.616875,0,0,0,99.998217442005,0.00178255799499993,0,0,22.5,10,25,10.4700111340497,9.96321167883212,0.796129094387922,172.88,30.7834757834758,756.6,758.2,9.07,9.1,0.0505,2.641,0.120666666666667,0.1185,0.0505,2.213,0.1435,0.1185,0.0153333333333333,1.10066666666667,147.312169312169,0.05,1,0.0466666666666667,0.00366666666666667,2.8,0.01,0.0215,1.27,93.968253968254,0.05,0.5,0.0575,0.005,3,0.0125,7.735,7.84,0.18,0.18,-2.32857325597712,-2.24556207057589,-4.05488891547584,-3.85774379363658
"S35","18.0",12.24875,82.88,79.2293957409387,8.34666470431433,0,12.423939554747,0,0,45,45,0,18.5053591004893,17.4643151041667,0.53956038291858,34,8.02189505473764,929.8,915.5,8.47,8.55,0.265,15.9894,0.7462,0.2118,0.37,17.6333333333333,1.056,0.314,0.1586,4.978,128.669022819383,1.525,4.5,2.16625,0.00675,4.175,0.0375,0.250666666666667,6.34,111.219707919584,1.8,7.75,4.3075,0.011,4.5,0.07,8.17,8.21,0.3,0.3,-1.5611851678718,-1.41244570792925,-1.60768636460442,-1.43176678877812
"S37","18.0",15.089375,63.35,41.3457490998154,1.09827734468137,39.7630443854959,17.7929291700073,0,1.04898430941843,27.5,12.5,17.5,14.0151492537313,15.3773834836713,0.756619302510501,664.72,54.2823544783432,383.4,253.3,8.11,8.24,0.1015,16.6665,0.184,0.073,0.108,13.59,0.209,0.098,0.039,5.445,149.375,0.325,4.5,0.1975,0.0025,2.8,0.025,0.046,4.37,95,0.6,5,0.37,0.001,4.4,0.02,8.05,8.1,0.3,0.3,-2.37287348023335,-2.256145722094,-3.22567202915686,-2.21395880728824
"S38","6.0",4.611875,69.82,85.8339204120843,0,5.45198852353656,8.71409106437915,0,0,50,50,25,15.9013815667414,15.5993431531741,0.467183143609572,119.52,26.1188811188811,854.9,663.1,NA,1.43,0.0895,30.1756666666667,0.270333333333333,0.0695,0.0895,36.7865,0.188,0.0695,0.0445,6.61,197.980884109916,0.9,1.25,0.025,0.008,2.35,0.03,0.027,8.74,323.703703703704,0.9,0.5,0.025,0.006,2.2,0.03,7.98666666666667,8.08,0.07,0.07,-2.30502475985964,-2.12014977691359,-1.98912735443655,-1.84050987618159
"S39","6.0",8.359375,84.99,78.6737816067359,3.65933449564599,3.40337779201758,14.2635061056005,0,0,70,70,10,15.9431330472103,16.407902047568,0.465438199474241,111.92,25,988.1,1005.2,7.305,7.415,0.171,5.6,0.1355,0.182,0.1775,9.6945,0.217,0.391,0.023,2.125,111.229166666667,0.95,1.75,0.025,0.001,2.6,0.005,0.016,2.77,173.125,0.8,0.5,0.025,0.001,1.7,0.005,7.94,7.77,0.18,0.18,-1.53397587549372,-1.48019872039155,-2.90198671268093,-2.1351329193394
"S106","16.0",31.608125,0,0,0,82.5198729316721,17.4801270683279,0,0,35,12.5,0,13.0804531668717,13.9090614886731,0.854913428536053,177.92,31.6268486916951,136.9,135.9,8.215,8.215,0.025,10.0485,0.075,0.037,0.025,9.606,0.075,0.037,0.02,3.29,164.5,0.05,2,0.025,0.001,0.1,0.08,0.02,3.29,164.5,0.05,2,0.025,0.001,0.1,0.08,7.65,7.9,0.6,0.6,-2.46118538019415,-2.33582829463807,-4.48725716639724,-5.30930783863546
"S92","18.0",12.01375,92.02,73.1064695646707,5.17051895367168,8.31345245137898,13.4095590302786,0,7.7655896609465,22.5,20,7.5,15.1502679671964,14.549131279358,0.117970546644101,11.68,7.1323888617489,440.2,476,1.95,2.925,0.192666666666667,3.32,0.46,0.327,0.2595,4.3605,0.4525,0.33,0.08,1.814,14.2184343434343,1.86666666666667,2.16666666666667,0.325,0.001,5.3,0.01,0.088,2.405,19.6590909090909,2,3,0.475,0.001,7.3,0.0125,8.05,8,0.1,0.1,-2.00055828624907,-1.76846370862771,-1.69761433790805,-1.36001092368262
"S93","16.0",5.2925,92.31,65.847715456892,2.9560246163578,10.9362888367204,20.2599710900298,0,0,47.5,25,2.5,13.1733862433862,15.3108431829071,0.336628238657101,224.16,38.648275862069,344.65,281,5.795,5.8,0.145333333333333,8.05633333333333,0.423666666666667,0.292333333333333,0.148,11.155,0.265,0.173,0.057,2.82,49.8583743842364,0.325,2,0.025,0.0035,1.4,0.0125,0.056,4.02,71.7857142857143,0.6,2,0.025,0.001,1,0.02,7.7,8,0.2,0.2,-2.43581376896201,-2.3398861461235,-4.4443564265794,-3.91510147821146
"S43","18.0",4.22125,79.13,79.2753921931929,12.2936042770089,0,8.4310035297982,0,0,70,50,0,15.7467109691418,15.5933084577114,0.774417530280366,10.8,20.8333333333333,1832.6,1870.4,7.92,7.765,0.18775,8.5435,0.54325,0.06,0.126,9.916,0.664333333333333,0.123,0.013,2.69,361.904761904762,0.4625,1.25,0.025,0.00175,2.3,0.00875,0.014,3.07,360.952380952381,0.65,1.25,0.025,0.001,1.65,0.005,6.62,5.18,0.3,0.3,-1.90026869770421,-1.90893671485642,-2.52235961318036,-1.88466754727263
"S107","16.0",25.6125,17.9,1.39044652222809,0,98.1570923024255,0.452461175346414,0,0,45,30,2.5,15.9011020452906,17.4069858156028,1.02950652456711,34.8,4.43968156766687,114.8,114.6,8.49,8.03,0.025,4.17566666666667,6.025,0.01,0.025,3.497,0.075,0.01,0.01,0.96,96,0.05,4,0.025,0.001,2.1,0.05,0.01,0.96,96,0.05,4,0.025,0.001,2.1,0.05,7.45,7.9,0.6,0.6,-2.55284196865778,-7,-5.38003926807252,-6.59456737278534
