siteID;type;rep_number;weight;weight_60;weight_500;comment
S81;fine;1;4.2893;0.5053;0.0389;
S81;fine;2;3.9783;0.4764;0.0389;
S81;fine;3;NA;NA;NA;empty
S81;coarse;1;NA;NA;NA;empty
S81;coarse;2;NA;NA;NA;empty
S81;coarse;3;NA;NA;NA;empty
S81;fine;3;NA;NA;NA;empty
S101;coarse;1;0.513;0.1276;0.0016;
S101;coarse;2;0.382;0.1013;0.0014;
S101;coarse;3;0.749;0.1511;0.0019;
S101;fine;1;3.1343;0.4352;0.0122;
S101;fine;2;3.1827;0.3958;0.0078;
S101;fine;3;3.0727;0.4041;0.008;
S116;coarse;1;3.0102;0.31;0.0227;
S116;coarse;2;1.4786;0.2234;0.0023;
S116;coarse;3;NA;NA;NA;empty
S116;fine;1;3.1153;0.4895;0.0055;
S116;fine;2;3.2884;0.493;0.0069;
S116;fine;3;NA;NA;NA;empty
S83;coarse;1;0.9988;0.1794;0.0035;
S83;coarse;2;1.0713;0.2194;0.0038;
S83;coarse;3;0.9845;0.1741;0.005;
S83;fine;1;2.6741;0.4415;0.0454;
S83;fine;2;2.4557;0.382;0.017;
S83;fine;3;3.488;0.472;0.017;
S118;coarse;1;NA;NA;NA;empty
S118;coarse;2;NA;NA;NA;empty
S118;coarse;3;NA;NA;NA;empty
S118;fine;1;2.4675;0.3201;0.0183;
S118;fine;2;2.6473;0.3026;0.011;
S118;fine;3;1.8893;0.2403;0.012;
S102;coarse;1;NA;NA;NA;empty
S102;coarse;2;NA;NA;NA;empty
S102;coarse;3;NA;NA;NA;empty
S102;fine;1;3.9818;0.5188;0.0141;
S102;fine;2;2.8705;0.4943;0.0195;
S102;fine;3;3.4773;0.5079;0.0497;
S86;coarse;1;NA;NA;NA;dried out
S86;coarse;2;NA;NA;NA;dried out
S86;coarse;3;NA;NA;NA;dried out
S86;fine;1;NA;NA;NA;dried out
S86;fine;2;NA;NA;NA;dried out
S86;fine;3;NA;NA;NA;dried out
